36,1,450.73,158.13,80.54,178.41,0.91,-1,-1,-1
36,2,1526.27,8.27,74.93,181.86,0.90,-1,-1,-1
36,3,506.14,154.13,73.12,183.94,0.87,-1,-1,-1
37,1,450.88,158.13,80.21,178.59,0.92,-1,-1,-1
37,2,1526.63,8.65,74.12,181.56,0.90,-1,-1,-1
37,3,504.87,154.78,73.95,183.81,0.89,-1,-1,-1
38,1,450.99,158.58,79.54,177.99,0.92,-1,-1,-1
38,2,1526.92,8.83,73.47,181.49,0.91,-1,-1,-1
38,3,504.49,155.29,74.53,183.37,0.89,-1,-1,-1
39,1,450.84,158.31,79.25,178.21,0.92,-1,-1,-1
39,2,1527.21,8.94,72.80,181.18,0.91,-1,-1,-1
39,3,503.99,155.36,75.07,182.99,0.89,-1,-1,-1
40,1,450.66,158.32,78.94,177.95,0.91,-1,-1,-1
40,2,1527.45,9.07,72.25,181.05,0.91,-1,-1,-1
40,3,503.68,155.60,75.57,182.64,0.88,-1,-1,-1
41,1,450.90,158.33,78.67,178.07,0.90,-1,-1,-1
41,2,1527.70,9.28,71.69,180.72,0.91,-1,-1,-1
41,3,504.18,155.68,75.89,182.29,0.87,-1,-1,-1
42,1,450.34,158.45,78.54,178.01,0.91,-1,-1,-1
42,2,1527.93,9.34,71.17,180.36,0.91,-1,-1,-1
42,3,504.59,155.81,76.06,181.95,0.88,-1,-1,-1
43,1,449.15,158.38,78.68,178.09,0.91,-1,-1,-1
43,2,1528.10,9.58,70.78,180.23,0.91,-1,-1,-1
43,3,505.48,156.19,76.02,181.60,0.88,-1,-1,-1
44,1,448.20,158.47,78.87,178.01,0.92,-1,-1,-1
44,2,1528.32,10.10,70.30,179.73,0.91,-1,-1,-1
44,3,505.53,156.77,76.14,181.71,0.89,-1,-1,-1
45,1,447.63,158.84,78.94,177.64,0.92,-1,-1,-1
45,2,1528.55,10.45,69.80,179.04,0.91,-1,-1,-1
45,3,505.75,156.98,76.23,181.76,0.89,-1,-1,-1
46,1,447.68,159.20,78.91,177.06,0.92,-1,-1,-1
46,2,1528.83,11.13,69.19,177.88,0.91,-1,-1,-1
46,3,505.78,157.04,76.38,182.01,0.89,-1,-1,-1
47,1,447.80,159.56,78.72,176.39,0.91,-1,-1,-1
47,2,1528.98,11.43,68.86,177.40,0.91,-1,-1,-1
47,3,505.59,156.95,76.39,181.89,0.89,-1,-1,-1
48,1,447.85,159.81,78.67,176.03,0.91,-1,-1,-1
48,2,1529.05,11.69,68.69,177.28,0.91,-1,-1,-1
48,3,505.29,156.90,76.43,181.85,0.88,-1,-1,-1
49,1,448.01,159.90,78.84,175.90,0.92,-1,-1,-1
49,2,1529.10,11.72,68.58,177.31,0.91,-1,-1,-1
49,3,505.01,156.99,76.32,181.62,0.89,-1,-1,-1
50,1,447.80,160.15,79.00,175.64,0.92,-1,-1,-1
50,2,1530.01,11.61,68.52,177.43,0.91,-1,-1,-1
50,3,504.90,157.01,76.29,181.54,0.89,-1,-1,-1
51,1,447.50,160.58,79.09,175.21,0.92,-1,-1,-1
51,2,1530.33,11.61,68.53,177.77,0.91,-1,-1,-1
51,3,504.83,157.02,76.34,181.51,0.89,-1,-1,-1
52,1,447.34,160.84,79.23,174.94,0.92,-1,-1,-1
